function_name,polynomial_size,max_error,l2_error
naive,48,0.00000000000000176714895569328520,0.00000000000000359468689729850383
karatsuba,48,0.00000000000000208005109345110292,0.00000000000000456187824558334549
toom3,48,0.00000000000000204675915085808809,0.00000000000000742404953121021488
toom4,48,0.00000000000000204675915085808809,0.00000000000000742404953121021488
naive,48,0.00000000000000188328139757848441,0.00000000000000365821676757090114
karatsuba,48,0.00000000000000152883215442103727,0.00000000000000362540734883153879
toom3,48,0.00000000000000215884059703853105,0.00000000000000700684749011347637
toom4,48,0.00000000000000215884059703853105,0.00000000000000700684749011347637
naive,48,0.00000000000000108581326732778554,0.00000000000000279955323275226047
karatsuba,48,0.00000000000000200080705857268991,0.00000000000000458516464884342390
toom3,48,0.00000000000000152997970391207889,0.00000000000000474451158597218742
toom4,48,0.00000000000000152997970391207889,0.00000000000000474451158597218742
naive,48,0.00000000000000246204166247074841,0.00000000000000423713960092583017
karatsuba,48,0.00000000000000180046270844592230,0.00000000000000449737310138368824
toom3,48,0.00000000000000255031908492694336,0.00000000000000680661670446484461
toom4,48,0.00000000000000255031908492694336,0.00000000000000680661670446484461
naive,48,0.00000000000000103142287216039142,0.00000000000000280868737506853463
karatsuba,48,0.00000000000000155490496362380688,0.00000000000000470966930342359243
toom3,48,0.00000000000000252129080664010951,0.00000000000000707907918921727958
toom4,48,0.00000000000000252129080664010951,0.00000000000000707907918921727958
naive,48,0.00000000000000091162104199574218,0.00000000000000251810595751803508
karatsuba,48,0.00000000000000227649970328502849,0.00000000000000485729700227962107
toom3,48,0.00000000000000218341764158615820,0.00000000000000566919305250169523
toom4,48,0.00000000000000218341764158615820,0.00000000000000566919305250169523
naive,48,0.00000000000000136424064181698760,0.00000000000000308694268017062385
karatsuba,48,0.00000000000000147534570456923756,0.00000000000000376423339524002061
toom3,48,0.00000000000000291796459644595300,0.00000000000000774034244542141524
toom4,48,0.00000000000000291796459644595300,0.00000000000000774034244542141524
naive,48,0.00000000000000105909924046607473,0.00000000000000279674641173282546
karatsuba,48,0.00000000000000322088558790329899,0.00000000000000496570962337260840
toom3,48,0.00000000000000240386312312396709,0.00000000000000640961042356275574
toom4,48,0.00000000000000240386312312396709,0.00000000000000640961042356275574
naive,48,0.00000000000000153823669025491047,0.00000000000000366461925454431934
karatsuba,48,0.00000000000000157186395240009387,0.00000000000000479578490705258285
toom3,48,0.00000000000000502028668636111084,0.00000000000000898513526447823869
toom4,48,0.00000000000000502028668636111084,0.00000000000000898513526447823869
naive,48,0.00000000000000075750915199269638,0.00000000000000273199834268833987
karatsuba,48,0.00000000000000230621212226850647,0.00000000000000466542803400326806
toom3,48,0.00000000000000294792932935642389,0.00000000000000754794725273265087
toom4,48,0.00000000000000294792932935642389,0.00000000000000754794725273265087
naive,48,0.00000000000000167739623219819492,0.00000000000000334475775399038145
karatsuba,48,0.00000000000000120491955351525170,0.00000000000000351603794100222077
toom3,48,0.00000000000000311130519704318104,0.00000000000000738492373984075839
toom4,48,0.00000000000000311130519704318104,0.00000000000000738492373984075839
naive,48,0.00000000000000082017453933222347,0.00000000000000276319259673689478
karatsuba,48,0.00000000000000178644274670459213,0.00000000000000485885429123803956
toom3,48,0.00000000000000351138023423356782,0.00000000000000826013521667917822
toom4,48,0.00000000000000351138023423356782,0.00000000000000826013521667917822
naive,48,0.00000000000000101662353951344686,0.00000000000000287350679177310078
karatsuba,48,0.00000000000000113241946541168409,0.00000000000000324769278667356172
toom3,48,0.00000000000000386414863008948812,0.00000000000000795020672122707872
toom4,48,0.00000000000000386414863008948812,0.00000000000000795020672122707872
naive,48,0.00000000000000152034963827746503,0.00000000000000309383245733617842
karatsuba,48,0.00000000000000118262104810204098,0.00000000000000332253787924577140
toom3,48,0.00000000000000188677977924940546,0.00000000000000611269693900768937
toom4,48,0.00000000000000188677977924940546,0.00000000000000611269693900768937
naive,48,0.00000000000000086806663600943247,0.00000000000000310551533771776355
karatsuba,48,0.00000000000000232496581552993462,0.00000000000000458244495018861217
toom3,48,0.00000000000000309511254316118757,0.00000000000001031867835004091050
toom4,48,0.00000000000000309511254316118757,0.00000000000001031867835004091050
naive,48,0.00000000000000102449936820585528,0.00000000000000274101691481524905
karatsuba,48,0.00000000000000161655573248729792,0.00000000000000396989452195733536
toom3,48,0.00000000000000205259822911051849,0.00000000000000549072329320540890
toom4,48,0.00000000000000205259822911051849,0.00000000000000549072329320540890
naive,48,0.00000000000000140692513718108331,0.00000000000000317354076385960665
karatsuba,48,0.00000000000000109283148435881147,0.00000000000000379027192994282613
toom3,48,0.00000000000000348170650393222565,0.00000000000000967785768743586311
toom4,48,0.00000000000000348170650393222565,0.00000000000000967785768743586311
naive,48,0.00000000000000117606640116879392,0.00000000000000239301616775407344
karatsuba,48,0.00000000000000175951179602055482,0.00000000000000447597931068313218
toom3,48,0.00000000000000188763330459826081,0.00000000000000513681534574673392
toom4,48,0.00000000000000188763330459826081,0.00000000000000513681534574673392
naive,48,0.00000000000000128582860347163178,0.00000000000000335008591869553124
karatsuba,48,0.00000000000000130995541494444499,0.00000000000000354802863752749578
toom3,48,0.00000000000000310507429965694273,0.00000000000000886978357661491787
toom4,48,0.00000000000000310507429965694273,0.00000000000000886978357661491787
naive,48,0.00000000000000309275016647679651,0.00000000000000529041533256363203
karatsuba,48,0.00000000000000245003967969808472,0.00000000000000547971171009388287
toom3,48,0.00000000000000271669729138253065,0.00000000000000734646614323311520
toom4,48,0.00000000000000271669729138253065,0.00000000000000734646614323311520
naive,48,0.00000000000000300583778650860374,0.00000000000000498329912227616476
karatsuba,48,0.00000000000000199900982992136057,0.00000000000000494702167201312823
toom3,48,0.00000000000000441181968925107757,0.00000000000000869064675846549427
toom4,48,0.00000000000000441181968925107757,0.00000000000000869064675846549427
naive,48,0.00000000000000095560071501834521,0.00000000000000274424449283829213
karatsuba,48,0.00000000000000172249189144096189,0.00000000000000401788937281409760
toom3,48,0.00000000000000252368271698708966,0.00000000000000760671390991264804
toom4,48,0.00000000000000252368271698708966,0.00000000000000760671390991264804
naive,48,0.00000000000000132295858650672114,0.00000000000000354350225785313366
karatsuba,48,0.00000000000000168237822857323349,0.00000000000000361320475654628368
toom3,48,0.00000000000000231664188019228935,0.00000000000000554648092697742736
toom4,48,0.00000000000000231664188019228935,0.00000000000000554648092697742736
naive,48,0.00000000000000150066298790175785,0.00000000000000379143029243559316
karatsuba,48,0.00000000000000205205069089874308,0.00000000000000427701923896234929
toom3,48,0.00000000000000333841298459420206,0.00000000000000840279051113532400
toom4,48,0.00000000000000333841298459420206,0.00000000000000840279051113532400
naive,48,0.00000000000000140321936785530164,0.00000000000000351314491837451940
karatsuba,48,0.00000000000000199739639701775664,0.00000000000000455807202265647092
toom3,48,0.00000000000000477272466435426679,0.00000000000000889097233215357032
toom4,48,0.00000000000000477272466435426679,0.00000000000000889097233215357032
naive,48,0.00000000000000101122597366777032,0.00000000000000247988327509608462
karatsuba,48,0.00000000000000165330928543260537,0.00000000000000401693721733964692
toom3,48,0.00000000000000227850108186003506,0.00000000000000683624656285956441
toom4,48,0.00000000000000227850108186003506,0.00000000000000683624656285956441
naive,48,0.00000000000000087484162226214881,0.00000000000000246167542866404733
karatsuba,48,0.00000000000000158991165549343440,0.00000000000000358609445143859736
toom3,48,0.00000000000000256622203201675342,0.00000000000000671583694969455192
toom4,48,0.00000000000000256622203201675342,0.00000000000000671583694969455192
naive,48,0.00000000000000104610942675357928,0.00000000000000324713678303760864
karatsuba,48,0.00000000000000234207881463864708,0.00000000000000482317362767807862
toom3,48,0.00000000000000424213558900535284,0.00000000000000867721480138863379
toom4,48,0.00000000000000424213558900535284,0.00000000000000867721480138863379
naive,48,0.00000000000000149718709666064145,0.00000000000000369267123960631648
karatsuba,48,0.00000000000000151106611216106633,0.00000000000000487290997562864063
toom3,48,0.00000000000000198489530181158320,0.00000000000000555347530895334302
toom4,48,0.00000000000000198489530181158320,0.00000000000000555347530895334302
naive,48,0.00000000000000101424635393097626,0.00000000000000319009120526922947
karatsuba,48,0.00000000000000153888743523582397,0.00000000000000384368661161327869
toom3,48,0.00000000000000401441516292213993,0.00000000000000901418592235369726
toom4,48,0.00000000000000401441516292213993,0.00000000000000901418592235369726
naive,48,0.00000000000000104729205709053300,0.00000000000000293682872897745352
karatsuba,48,0.00000000000000133026193929628607,0.00000000000000352148505229053461
toom3,48,0.00000000000000116542173389512831,0.00000000000000373501477267657729
toom4,48,0.00000000000000116542173389512831,0.00000000000000373501477267657729
naive,48,0.00000000000000129575332001632843,0.00000000000000257026567217014279
karatsuba,48,0.00000000000000194599118922689864,0.00000000000000380949101113185380
toom3,48,0.00000000000000217547719543036278,0.00000000000000557305813576549506
toom4,48,0.00000000000000217547719543036278,0.00000000000000557305813576549506
naive,48,0.00000000000000211670003508167851,0.00000000000000350244435250362578
karatsuba,48,0.00000000000000151477119533684138,0.00000000000000386203036670836753
toom3,48,0.00000000000000241364395800670467,0.00000000000000794061433703180698
toom4,48,0.00000000000000241364395800670467,0.00000000000000794061433703180698
naive,48,0.00000000000000146624512812035016,0.00000000000000339823969431677332
karatsuba,48,0.00000000000000199593460089735298,0.00000000000000498205899579171158
toom3,48,0.00000000000000386028840760102562,0.00000000000000891692913582336537
toom4,48,0.00000000000000386028840760102562,0.00000000000000891692913582336537
naive,48,0.00000000000000074866672561874531,0.00000000000000242559842928844085
karatsuba,48,0.00000000000000183642969101107612,0.00000000000000491135290427381635
toom3,48,0.00000000000000250060308545189570,0.00000000000000749911485814601082
toom4,48,0.00000000000000250060308545189570,0.00000000000000749911485814601082
naive,48,0.00000000000000126184925785521038,0.00000000000000328069949663869557
karatsuba,48,0.00000000000000176070114012254105,0.00000000000000355271740371736063
toom3,48,0.00000000000000244041561477398970,0.00000000000000696074301818158473
toom4,48,0.00000000000000244041561477398970,0.00000000000000696074301818158473
naive,48,0.00000000000000080769658634800287,0.00000000000000272031236434717203
karatsuba,48,0.00000000000000151389063139473893,0.00000000000000450035118754000869
toom3,48,0.00000000000000287169054682827688,0.00000000000000843967897278039794
toom4,48,0.00000000000000287169054682827688,0.00000000000000843967897278039794
naive,48,0.00000000000000098220921596908938,0.00000000000000314607342066626091
karatsuba,48,0.00000000000000186496358678941183,0.00000000000000469701641706137224
toom3,48,0.00000000000000561955836027400418,0.00000000000000945590621824805998
toom4,48,0.00000000000000561955836027400418,0.00000000000000945590621824805998
naive,48,0.00000000000000087710083077769423,0.00000000000000227204794596004440
karatsuba,48,0.00000000000000107283097566071099,0.00000000000000280091343610437979
toom3,48,0.00000000000000242749321101469457,0.00000000000000791889631112225485
toom4,48,0.00000000000000242749321101469457,0.00000000000000791889631112225485
naive,48,0.00000000000000115019354127604623,0.00000000000000292287164477810349
karatsuba,48,0.00000000000000230977436878995212,0.00000000000000464807162812064254
toom3,48,0.00000000000000304961191110531277,0.00000000000000828249239175176166
toom4,48,0.00000000000000304961191110531277,0.00000000000000828249239175176166
naive,48,0.00000000000000147941284125093105,0.00000000000000356221934258386720
karatsuba,48,0.00000000000000180466013203565833,0.00000000000000431998188032397975
toom3,48,0.00000000000000283843403625060833,0.00000000000000710101442665531869
toom4,48,0.00000000000000283843403625060833,0.00000000000000710101442665531869
naive,48,0.00000000000000076206219328823495,0.00000000000000229696894497411247
karatsuba,48,0.00000000000000134560216862630880,0.00000000000000311484178421085276
toom3,48,0.00000000000000261635204296603697,0.00000000000000661834684110411943
toom4,48,0.00000000000000261635204296603697,0.00000000000000661834684110411943
naive,48,0.00000000000000099098556808227023,0.00000000000000316738617758057571
karatsuba,48,0.00000000000000169914615095106423,0.00000000000000400396154706397745
toom3,48,0.00000000000000203979855860229467,0.00000000000000509640628316584573
toom4,48,0.00000000000000203979855860229467,0.00000000000000509640628316584573
