k,function_name,mean_time_seconds
13.0,toom3_k,0.017738406519230768
14.0,toom3_k,0.0177779293
15.0,toom3_k,0.017805567153846156
16.0,toom3_k,0.01768155578
17.0,toom3_k,0.017735600384615385
18.0,toom3_k,0.01799977298
19.0,toom3_k,0.017784843057692307
20.0,toom3_k,0.01781609534
21.0,toom3_k,0.01802162476923077
22.0,toom3_k,0.018124218
23.0,toom3_k,0.03845925509615384
24.0,toom3_k,0.0179945421
25.0,toom3_k,0.018092439692307692
26.0,toom3_k,0.01789795882
27.0,toom3_k,0.017890609211538462
28.0,toom3_k,0.01796360014
29.0,toom3_k,0.017740322980769233
30.0,toom3_k,0.01793878556
31.0,toom3_k,0.017857166403846155
32.0,toom3_k,0.04626471518
33.0,toom3_k,0.019310955679245283
34.0,toom3_k,0.01935422424
35.0,toom3_k,0.019330128188679248
36.0,toom3_k,0.0193546486
37.0,toom3_k,0.019250154490566034
38.0,toom3_k,0.01930235864
39.0,toom3_k,0.01931954353846154
41.0,toom3_k,0.0185064075
43.0,toom3_k,0.0191030505
45.0,toom3_k,0.018850088
47.0,toom3_k,0.018438101
49.0,toom3_k,0.018927574
51.0,toom3_k,0.019107461
53.0,toom3_k,0.0184350015
55.0,toom3_k,0.018102884
57.0,toom3_k,0.019044995500000002
59.0,toom3_k,0.018894911
61.0,toom3_k,0.018721938
63.0,toom3_k,0.019066572
65.0,toom3_k,0.018715024
67.0,toom3_k,0.0184640885
69.0,toom3_k,0.018739104
71.0,toom3_k,0.020133495
73.0,toom3_k,0.019033074
75.0,toom3_k,0.0189495085
77.0,toom3_k,0.019020915
79.0,toom3_k,0.0189961195
81.0,toom3_k,0.019796014
83.0,toom3_k,0.018763423
85.0,toom3_k,0.020279527
87.0,toom3_k,0.018760443
89.0,toom3_k,0.019984006999999998
91.0,toom3_k,0.0189226865
93.0,toom3_k,0.019345999000000003
95.0,toom3_k,0.019429922500000002
97.0,toom3_k,0.0198204515
99.0,toom3_k,0.023092985500000003
