k,function_name,mean_time_seconds
0,karatsuba_k,0.09072931758
4,karatsuba_k,0.0413326827755102
8,karatsuba_k,0.03690439824489796
12,karatsuba_k,0.03700015979591837
16,karatsuba_k,0.03933206385714286
20,karatsuba_k,0.0397656441
24,karatsuba_k,0.03950026994
28,karatsuba_k,0.0396049165
32,karatsuba_k,0.04626344661224489
36,karatsuba_k,0.04659962654
40,karatsuba_k,0.04675725036734694
44,karatsuba_k,0.04663024894
48,karatsuba_k,0.0466054869
52,karatsuba_k,0.04670429226
56,karatsuba_k,0.04646448614
60,karatsuba_k,0.0466366768
64,karatsuba_k,0.05108866216
68,karatsuba_k,0.051120100019999996
72,karatsuba_k,0.05179412838
76,karatsuba_k,0.0511208534
80,karatsuba_k,0.05079957014
84,karatsuba_k,0.05086097716
88,karatsuba_k,0.051075320279999996
92,karatsuba_k,0.050777153879999995
96,karatsuba_k,0.05030287738
