function_name,poly_size,time_seconds
naive,4,0.000000954
karatsuba,4,0.000001907
tom3,4,0.000000954
tom4,4,0.000000954
naive,16,0.000002861
karatsuba,16,0.000005960
tom3,16,0.000005007
tom4,16,0.000009060
naive,30,0.000005960
karatsuba,30,0.000010014
tom3,30,0.000012875
tom4,30,0.000005960
naive,32,0.000005960
karatsuba,32,0.000010967
tom3,32,0.000009060
tom4,32,0.000005007
naive,64,0.000011921
karatsuba,64,0.000026941
tom3,64,0.000013828
tom4,64,0.000013113
naive,128,0.000048161
karatsuba,128,0.000062227
tom3,128,0.000041008
tom4,128,0.000025034
naive,256,0.000171900
karatsuba,256,0.000190973
tom3,256,0.000077963
tom4,256,0.000053883
naive,512,0.000599861
karatsuba,512,0.000481129
tom3,512,0.000283003
tom4,512,0.000151873
naive,1024,0.002990007
karatsuba,1024,0.001372099
tom3,1024,0.000762939
tom4,1024,0.000370026
naive,2048,0.008725882
karatsuba,2048,0.004505873
tom3,2048,0.001505136
tom4,2048,0.000874996
naive,4096,0.034756899
karatsuba,4096,0.013010979
tom3,4096,0.004327059
tom4,4096,0.002449036
naive,8192,0.142727852
karatsuba,8192,0.038029194
tom3,8192,0.012972116
tom4,8192,0.007019997
